id	wave	date	polarization	time	interviewdistance	edate	treated	fortuyn	pvda	vvd	lpf	cda	age	female	rural	sclass	polkno	religion	dlr	postlr	lprelr	lpf_id_broad	vvd_id_broad	cu_id_broad	cda_id_broad	d66_id_broad	pvda_id_broad	gl_id_broad	sp_id_broad	rightid	leftid	asylum	crime	euthanasia	inequality	sample
15.0	3.0	2003-02-19		280.0	47.0	2002-05-15	1.0	1.0	1.0	0.0	0.0	0.0	34.5	1.0	1.0	2.0	11.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	4.0	2.0	3.0	
16.0	1.0	2002-04-20	1.0	-25.0	33.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	64.416664	1.0	1.0	3.0	11.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	2.0	4.0	1.0
16.0	2.0	2002-05-23	1.0	8.0	33.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	64.5	1.0	1.0	3.0	11.0	0.0	2.0	7.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	2.0	4.0	1.0
16.0	3.0	2003-01-27		257.0	33.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	65.166664	1.0	1.0	3.0	11.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	2.0	4.0	
17.0	1.0	2002-05-14	1.0	-1.0	35.0	2002-05-15	0.0	1.0	0.0	0.0	0.0	0.0	61.0	1.0	1.0	1.0	7.0	0.0				0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	2.0	4.0	1.0
17.0	2.0	2002-06-18	3.0	34.0	35.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	61.083332	1.0	1.0	1.0	7.0	0.0	-2.0	3.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	2.0	4.0	1.0
18.0	1.0	2002-05-12	1.0	-3.0	14.0	2002-05-15	0.0	1.0	0.0	0.0	1.0	0.0	45.333332	1.0	1.0	3.0	2.0	1.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	1.0	7.0	1.0
18.0	2.0	2002-05-26	4.0	11.0	14.0	2002-05-15	1.0	1.0	0.0	0.0	1.0	0.0	45.333332	1.0	1.0	3.0	2.0	1.0	-5.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	1.0	7.0	1.0
19.0	1.0	2002-04-29	0.0	-16.0	35.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	42.583332	2.0	1.0	3.0	1.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	5.0	7.0	2.0	2.0	1.0
19.0	2.0	2002-06-03	2.0	19.0	35.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	42.75	2.0	1.0	3.0	1.0	0.0	-2.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	5.0	7.0	2.0	2.0	1.0
19.0	3.0	2003-02-04		265.0	35.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	43.416668	2.0	1.0	3.0	1.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	5.0	7.0	2.0	2.0	
20.0	1.0	2002-04-22	2.0	-23.0	37.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	76.333336	2.0	1.0	3.0	10.0	1.0				0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	4.0	5.0	2.0	1.0
20.0	2.0	2002-05-29	1.0	14.0	37.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	76.416664	2.0	1.0	3.0	10.0	1.0	1.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	4.0	5.0	2.0	1.0
20.0	3.0	2003-02-03		264.0	37.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	77.166664	2.0	1.0	3.0	10.0	1.0				0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	4.0	5.0	2.0	
21.0	1.0	2002-05-01	2.0	-14.0	26.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	26.416666	2.0	1.0	3.0	11.0	1.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	5.0	4.0	1.0	1.0
21.0	2.0	2002-05-27	2.0	12.0	26.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	26.416666	2.0	1.0	3.0	11.0	1.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	5.0	4.0	1.0	1.0
21.0	3.0	2003-01-30		260.0	26.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	27.083334	2.0	1.0	3.0	11.0	1.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	5.0	4.0	1.0	
22.0	1.0	2002-04-22	2.0	-23.0	36.0	2002-05-15	0.0	0.0	0.0	1.0	0.0	0.0	65.25	1.0	1.0	2.0	10.0	1.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	4.0		1.0
22.0	2.0	2002-05-28	1.0	13.0	36.0	2002-05-15	1.0	1.0	0.0	1.0	0.0	0.0	65.333336	1.0	1.0	2.0	10.0	1.0	1.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	4.0		1.0
22.0	3.0	2003-02-06		267.0	36.0	2002-05-15	1.0	1.0	0.0	1.0	0.0	0.0	66.083336	1.0	1.0	2.0	10.0	1.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	4.0		
23.0	1.0	2002-04-15	3.0	-30.0		2002-05-15	0.0	0.0	0.0	0.0	1.0	0.0	65.916664	2.0	1.0	5.0	5.0	0.0				1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	7.0	1.0	1.0	
24.0	1.0	2002-04-20	4.0	-25.0	30.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	64.0	1.0	1.0	2.0	12.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	1.0	1.0
24.0	2.0	2002-05-20	4.0	5.0	30.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	64.083336	1.0	1.0	2.0	12.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	1.0	1.0
24.0	3.0	2003-01-24		254.0	30.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	64.75	1.0	1.0	2.0	12.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	1.0	
25.0	1.0	2002-04-17	3.0	-28.0	34.0	2002-05-15	0.0	0.0	1.0	0.0	0.0	0.0	57.333332	2.0	1.0	2.0	12.0	0.0				0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0	7.0	1.0	1.0	1.0
25.0	2.0	2002-05-21	1.0	6.0	34.0	2002-05-15	1.0	1.0	1.0	0.0	0.0	0.0	57.416668	2.0	1.0	2.0	12.0	0.0	2.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0	7.0	1.0	1.0	1.0
